transaction_id,amount,hour,device_type,location,account_age_days,transaction_frequency,failed_attempts,distance_from_last_transaction,previous_transaction_amount,new_device,location_changed,night_transaction,amount_ratio,is_fraud
TXN100000,1802.11,16,Desktop,Pune,743,9,0,4.25,894.53,0,0,0,2.0123390617846413,0
TXN100001,955.02,17,Mobile,Bangalore,152,12,1,0.25,222.89,0,0,0,4.265576845772478,0
TXN100002,2095.8,3,Desktop,Pune,2166,11,1,4.04,754.22,1,1,1,2.7750854055771828,0
TXN100003,5029.27,2,Desktop,Chennai,601,16,1,29.97,610.77,0,1,1,8.220850973405039,0
TXN100004,867.7,7,Tablet,Delhi,1384,4,0,11.3,322.85,1,0,0,2.679326848849776,0
TXN100005,867.71,3,Mobile,Bangalore,101,29,0,32.61,3293.35,0,0,1,0.2633933856451197,0
TXN100006,5319.92,22,Mobile,Chennai,1970,27,1,5.49,915.29,1,0,0,5.805934802300582,0
TXN100007,2362.4,14,Desktop,Kolkata,485,29,0,3.13,333.43,0,0,0,7.063959573004814,1
TXN100008,685.76,12,Mobile,Pune,322,28,1,4.66,257.46,0,1,0,2.653253888416003,1
TXN100009,1886.65,13,Mobile,Mumbai,651,27,0,26.82,570.85,0,1,0,3.299204336801609,0
TXN100010,689.92,13,Mobile,Pune,1179,11,0,19.71,486.16,0,0,0,1.4162082272764593,1
TXN100011,688.33,4,Desktop,Bangalore,2637,13,0,38.4,2542.99,0,0,1,0.270571032118837,0
TXN100012,1396.83,4,Mobile,Pune,1972,8,0,16.78,607.73,0,1,1,2.294662658321423,1
TXN100013,161.86,21,Mobile,Kolkata,2549,24,0,19.57,2890.1,0,0,0,0.055985611013109206,0
TXN100014,195.41,12,Mobile,Pune,2346,17,0,9.05,1051.29,0,0,0,0.18569975957198112,0
TXN100015,624.98,3,Mobile,Pune,1939,21,0,23.7,1354.6,0,1,1,0.46103570374741815,0
TXN100016,398.29,17,Tablet,Delhi,344,11,0,9.13,845.49,0,0,0,0.4705194390955593,0
TXN100017,1501.54,5,Mobile,Mumbai,2978,4,0,13.62,389.89,0,1,1,3.8413364373608943,0
TXN100018,442.29,4,Mobile,Pune,2604,20,1,1.4,416.92,0,0,1,1.058312595712098,0
TXN100019,267.12,2,Mobile,Bangalore,1589,25,0,7.82,476.64,0,0,1,0.5592496440834102,1
TXN100020,4748.81,19,Mobile,Chennai,872,12,0,2.73,291.0,0,1,0,16.263047945205482,0
TXN100021,875.0,2,Tablet,Kolkata,981,27,1,12.71,1645.61,0,0,1,0.5313948050843855,0
TXN100022,1173.24,2,Tablet,Hyderabad,2853,12,0,1.28,3441.15,0,1,1,0.34084511134029605,0
TXN100023,263.82,19,Mobile,Pune,1525,19,2,8.8,2877.43,0,0,0,0.09165413089774635,0
TXN100024,636.27,1,Mobile,Mumbai,1684,24,0,13.31,425.58,0,0,1,1.4915607857846125,0
TXN100025,1225.28,19,Mobile,Chennai,1923,28,1,16.04,1577.14,0,1,0,0.7764076697884851,0
TXN100026,346.89,17,Mobile,Mumbai,1016,25,0,5.53,459.63,0,1,0,0.7530773071662723,0
TXN100027,1596.71,9,Mobile,Kolkata,1168,24,0,0.98,326.77,0,0,0,4.871434237422584,0
TXN100028,601.46,23,Mobile,Bangalore,676,20,0,0.1,363.25,0,1,1,1.651228551818806,0
TXN100029,819.18,20,Desktop,Delhi,1048,18,0,4.51,278.91,0,0,0,2.9265835447107995,0
TXN100030,600.82,6,Desktop,Pune,2449,10,0,13.31,534.78,0,0,0,1.1213931091119491,0
TXN100031,6990.3,19,Mobile,Delhi,2229,7,0,8.89,1434.5,0,0,0,4.869592476489029,0
TXN100032,1081.93,21,Desktop,Pune,1538,19,3,19.77,814.45,0,0,0,1.326788889570176,0
TXN100033,380.81,13,Desktop,Pune,2716,6,0,7.48,84.93,0,0,0,4.431630396834633,0
TXN100034,2496.25,9,Mobile,Mumbai,394,19,0,16.11,350.8,1,0,0,7.095650938032973,0
TXN100035,323.49,19,Tablet,Hyderabad,2592,20,1,39.62,365.76,0,0,0,0.8820209401243321,0
TXN100036,1351.36,15,Desktop,Bangalore,2035,18,0,14.42,2046.79,0,1,0,0.6599114166980012,0
TXN100037,154.52,5,Mobile,Chennai,2637,12,0,16.22,249.41,0,0,1,0.6170680084661156,0
TXN100038,290.56,16,Tablet,Bangalore,1971,11,1,20.38,571.38,1,0,0,0.5076347880778503,0
TXN100039,1335.23,5,Mobile,Hyderabad,1357,15,1,6.76,1226.12,0,0,1,1.088100593259013,0
TXN100040,2294.95,21,Mobile,Kolkata,2254,5,2,26.56,328.12,1,0,0,6.972988575595527,0
TXN100041,1301.62,17,Mobile,Kolkata,2791,10,1,29.16,582.64,1,1,0,2.2301761359742307,0
TXN100042,976.87,9,Desktop,Chennai,2094,23,0,3.52,1787.05,0,0,0,0.5463325969631722,1
TXN100043,811.51,9,Mobile,Hyderabad,1799,18,0,16.8,1679.85,0,0,0,0.48279739417556594,0
TXN100044,250.0,8,Mobile,Bangalore,548,21,0,11.7,1266.49,0,1,0,0.19724021491293817,1
TXN100045,533.87,21,Mobile,Bangalore,2248,22,1,2.39,869.74,0,0,0,0.6131221719457014,0
TXN100046,691.84,14,Mobile,Mumbai,1344,15,0,55.13,488.6,0,0,0,1.4130718954248367,0
TXN100047,3156.19,10,Desktop,Pune,1733,22,1,7.42,167.94,0,0,0,18.682313247306737,0
TXN100048,1546.3,6,Mobile,Kolkata,1258,13,1,12.5,2665.96,1,0,0,0.5797987221405645,0
TXN100049,188.1,17,Mobile,Hyderabad,163,2,0,9.1,995.43,0,0,0,0.18877392290477002,0
TXN100050,1516.38,1,Desktop,Delhi,1518,2,1,26.71,1491.45,0,1,1,1.0160340379912225,1
TXN100051,746.14,1,Desktop,Hyderabad,2628,18,1,19.74,265.52,0,0,1,2.79956476061834,1
TXN100052,557.29,12,Desktop,Hyderabad,2969,3,0,20.73,209.63,1,0,0,2.6458244314675023,0
TXN100053,2021.66,10,Mobile,Kolkata,2622,16,0,1.03,1274.69,1,0,0,1.584758052504919,0
TXN100054,3074.81,18,Mobile,Chennai,2228,2,0,74.6,277.53,0,0,0,11.039421247262414,0
TXN100055,2782.99,19,Desktop,Pune,1937,9,0,6.62,445.11,0,1,0,6.238349286050525,0
TXN100056,473.8,0,Mobile,Chennai,2110,10,1,3.07,1231.51,0,0,1,0.3844187876771791,0
TXN100057,804.96,16,Desktop,Kolkata,1536,5,0,5.13,458.64,0,1,0,1.7512836132625533,0
TXN100058,1527.31,19,Mobile,Mumbai,2619,25,0,24.72,409.45,1,0,0,3.7210622487513705,0
TXN100059,2908.94,17,Mobile,Delhi,806,24,0,70.4,1043.14,0,1,0,2.7859673990077956,1
TXN100060,679.14,7,Mobile,Kolkata,1124,21,1,6.66,311.68,0,1,0,2.1719969297684534,0
TXN100061,910.82,12,Mobile,Bangalore,2139,13,0,6.06,1082.32,1,0,0,0.8407672709817968,0
TXN100062,362.73,3,Mobile,Delhi,1765,7,0,58.73,422.18,1,0,1,0.8571529845455834,1
TXN100063,331.55,18,Mobile,Delhi,2823,28,0,19.18,638.55,0,0,0,0.5184113830036745,0
TXN100064,2471.36,2,Desktop,Delhi,760,2,0,15.86,829.66,1,0,1,2.975176365781427,1
TXN100065,4256.66,5,Mobile,Kolkata,1206,26,0,6.62,174.16,0,0,1,24.30155286595113,0
TXN100066,1020.44,5,Mobile,Mumbai,1228,10,1,15.29,1472.18,0,0,1,0.6926784235463419,0
TXN100067,2991.51,21,Mobile,Mumbai,1360,7,3,0.18,274.34,0,0,0,10.864785356286774,0
TXN100068,1574.41,5,Mobile,Kolkata,383,5,1,16.33,1142.13,0,0,1,1.3772799244180451,0
TXN100069,575.29,23,Mobile,Delhi,1425,6,0,13.02,486.72,0,0,1,1.1795497416550478,0
TXN100070,1574.03,7,Desktop,Bangalore,1255,9,0,18.32,430.05,0,1,0,3.651618141746897,0
